26 Mar 2024	1	430090	292	5	69
26 Mar 2024	2	817500	292	15	170
26 Mar 2024	2	215970	292	3	40
26 Mar 2024	2	125840	292	2	23
26 Mar 2024	1	675340	292	7	151
26 Mar 2024	2	423870	292	6	70
26 Mar 2024	1	134560	292	2	25
27 Mar 2024	1	15600	74	1	3
28 Mar 2024	1	15600	74	1	3
28 Mar 2024	1	3342790	422	10	188
04 Apr 2024	2	15600	95	1	3
05 Apr 2024	1	1150970	365	7	121
06 Apr 2024	1	20800	75	1	4
06 Apr 2024	2	15600	95	1	3
09 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	65520	158	2	17
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	1	20800	75	1	4
11 Apr 2024	1	219560	166	3	47
11 Apr 2024	1	15600	74	1	3
11 Apr 2024	2	15600	95	1	3
11 Apr 2024	2	15600	95	1	3
11 Apr 2024	2	15600	95	1	3
11 Apr 2024	2	15600	70	1	3
11 Apr 2024	2	15600	70	1	3
11 Apr 2024	2	15600	70	1	3
11 Apr 2024	2	15600	70	1	3
11 Apr 2024	1	15600	89	1	3
11 Apr 2024	2	20800	71	1	4
12 Apr 2024	1	5156950	273	11	181
13 Apr 2024	1	15600	74	1	3
13 Apr 2024	1	15600	74	1	3
13 Apr 2024	1	15600	74	1	3
15 Apr 2024	1	15600	74	1	3
15 Apr 2024	1	15600	74	1	3
15 Apr 2024	1	15600	74	1	3
15 Apr 2024	1	15600	74	1	3
15 Apr 2024	1	57720	85	2	14
16 Apr 2024	1	15600	74	1	3
16 Apr 2024	1	39000	81	1	10
16 Apr 2024	1	15600	74	1	3
16 Apr 2024	1	15600	74	1	3
16 Apr 2024	1	15600	74	1	3
17 Apr 2024	1	15600	74	1	3
17 Apr 2024	1	15600	74	1	3
17 Apr 2024	1	372410	187	4	66
17 Apr 2024	1	15600	74	1	3
17 Apr 2024	2	1237430	343	7	121
17 Apr 2024	2	1225430	343	7	121
17 Apr 2024	1	298180	169	4	54
17 Apr 2024	1	346190	174	4	66
18 Apr 2024	1	765380	294	6	95
18 Apr 2024	1	28600	77	1	6
18 Apr 2024	1	15600	74	1	3
18 Apr 2024	1	15600	74	1	3
18 Apr 2024	1	3795740	477	10	198
18 Apr 2024	1	9420270	590	13	263
18 Apr 2024	1	6569550	518	12	240
18 Apr 2024	1	13197130	654	14	305
18 Apr 2024	1	8623220	1887	29	952
18 Apr 2024	1	8804300	1953	30	958
18 Apr 2024	1	8847510	1954	30	960
18 Apr 2024	1	1953380	1338	16	367
18 Apr 2024	1	1962110	1339	16	368
18 Apr 2024	1	1970840	1340	16	369
18 Apr 2024	1	1979570	1341	16	370
18 Apr 2024	1	1988300	1342	16	371
18 Apr 2024	1	1997030	1343	16	372
18 Apr 2024	1	1953380	1338	16	367
18 Apr 2024	1	1962110	1339	16	368
18 Apr 2024	1	1970840	1340	16	369
18 Apr 2024	1	1979570	1341	16	370
18 Apr 2024	1	1988300	1342	16	371
18 Apr 2024	1	1997030	1343	16	372
18 Apr 2024	1	194900	313	4	62
18 Apr 2024	1	197330	314	4	63
18 Apr 2024	1	199760	315	4	64
